simas_id,name,tipologi,founded_year,address,latitude,longitude,luas_tanah,status_tanah,luas_bangunan,daya_tampung_jamaah,jumlah_pengurus,jumlah_imam,jumlah_khatib,jumlah_muazin,jumlah_remaja_masjid,facilities,activities,image_url,detail_url
02.1.03.17.02.000043,BAITUL JANNAH,Mushalla di tempat Publik,0,"Jl.S.Hatta | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000043
02.1.03.17.02.000044,NURUL IMAN,Mushalla di tempat Publik,0,"Jl.Jangkak | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Gudang"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000044
02.1.03.17.02.000049,AL-MAWARIS,Mushalla di tempat Publik,0,"Kompl.Hotel Pusako | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,SHM,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000049
02.1.03.17.02.000057,AL-QASIM,Mushalla di tempat Publik,0,"Jl.Nj.Dt.Mangkuto Ameh | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,SHM,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000057
02.1.03.17.02.000059,NURUL HIDAYAH,Mushalla di tempat Publik,0,"Jl. PDRI | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Gudang"",""Taman""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000059
02.1.03.17.02.000074,MUSLIMIN,Mushalla di tempat Publik,0,"Komplek Pusido Inkorba | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,SHM,0 m2,0,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000074
02.1.03.17.02.000060,AL-MUKHLISHIN,Mushalla di tempat Publik,0,"Jl. DN. Dt Maso Basa Nan Kuniang | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,1,1,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000060
02.1.03.17.02.000048,NURUL FALAH GULIDIAK,Mushalla di tempat Publik,0,"Jl.Gulidiak | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,1,35,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000048
02.1.03.17.02.000053,KANTUA,Mushalla di tempat Publik,0,"Jl.Anak Aia Kasiak | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,Wakaf,0 m2,0,3,1,0,1,1,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Gudang"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000053
02.1.03.17.01.000036,AL-MUNAWWARAH PARAK KOPI,Mushalla di tempat Publik,2013,"JL. YOSSUDARSO KEL. KAYU KUBU KEC. GUGUK PANAJNG | Guguak Panjang, Kota Bukittinggi | Sumatera Barat",0,0,300 m2,SHM,240 m2,49,1,1,0,1,8,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Pengajian Rutin"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.01.000036
